Time[s], Channel 7
9.351304, 0
9.35133, 1
9.351332, 0
9.4105, 1
9.443456, 0
9.443458, 1
9.44346, 0
9.443468, 1
9.44347, 0
9.443478, 1
9.44348, 0
9.443482, 1
9.443484, 0
9.44349, 1
9.443496, 0
9.49725, 1
9.526004, 0
9.526006, 1
9.526008, 0
9.526016, 1
9.526018, 0
9.526038, 1
9.526042, 0
9.57817, 1
9.6082, 0
9.608202, 1
9.608204, 0
9.60821, 1
9.608214, 0
9.608226, 1
9.608228, 0
9.608232, 1
9.60824, 0
9.608264, 1
9.608268, 0
9.659014, 1
9.68703, 0
9.687032, 1
9.687034, 0
9.687042, 1
9.687044, 0
9.687064, 1
9.687068, 0
9.687096, 1
9.687098, 0
9.738644, 1
9.768842, 0
9.768844, 1
9.768846, 0
9.768852, 1
9.768856, 0
9.768874, 1
9.768882, 0
9.768908, 1
9.76891, 0
9.821088, 1
9.850516, 0
9.850522, 1
9.850526, 0
9.850544, 1
9.85055, 0
9.850576, 1
9.850578, 0
9.90624, 1
9.93968, 0
9.939682, 1
9.939684, 0
9.93969, 1
9.939694, 0
9.939712, 1
9.939718, 0
9.939744, 1
9.939746, 0
9.998176, 1
10.03111, 0
10.031112, 1
10.031114, 0
10.03112, 1
10.031124, 0
10.031142, 1
10.031148, 0
10.031174, 1
10.031176, 0
10.094074, 1
10.131572, 0
10.131574, 1
10.131576, 0
10.131582, 1
10.131586, 0
10.131604, 1
10.131612, 0
10.131636, 1
10.13164, 0
10.197304, 1
10.234482, 0
10.234484, 1
10.234486, 0
10.234492, 1
10.234496, 0
10.234514, 1
10.23452, 0
10.305224, 1
10.34723, 0
10.347232, 1
10.347236, 0
10.347242, 1
10.347244, 0
10.347256, 1
10.347258, 0
10.347264, 1
10.34727, 0
10.347296, 1
10.347298, 0
10.420708, 1
10.46217, 0
10.462172, 1
10.462174, 0
10.46218, 1
10.462184, 0
10.462202, 1
10.462208, 0
10.462234, 1
10.462236, 0
10.54152, 1
10.588408, 0
10.58841, 1
10.588412, 0
10.588418, 1
10.588422, 0
10.588434, 1
10.588436, 0
10.588442, 1
10.588448, 0
10.588474, 1
10.588476, 0
10.670544, 1
10.717128, 0
10.71713, 1
10.717132, 0
10.717138, 1
10.717142, 0
10.71716, 1
10.717166, 0
10.717192, 1
10.717194, 0
10.806442, 1
10.859198, 0
10.8592, 1
10.859202, 0
10.85921, 1
10.859212, 0
10.859232, 1
10.859238, 0
10.859264, 1
10.859266, 0
10.951518, 1
11.003912, 0
11.003914, 1
11.003916, 0
11.003922, 1
11.003926, 0
11.003944, 1
11.00395, 0
11.003976, 1
11.003978, 0
11.104276, 1
11.163608, 0
11.16361, 1
11.163612, 0
11.16362, 1
11.163622, 0
11.163634, 1
11.163636, 0
11.163642, 1
11.163648, 0
11.163674, 1
11.163676, 0
11.267042, 1
11.325762, 0
11.325764, 1
11.325766, 0
11.325774, 1
11.325776, 0
11.325796, 1
11.3258, 0
11.325828, 1
11.32583, 0
11.439152, 1
11.506008, 0
11.50601, 1
11.506012, 0
11.506018, 1
11.506022, 0
11.506034, 1
11.506036, 0
11.50604, 1
11.506048, 0
11.506074, 1
11.506076, 0
11.62225, 1
11.688492, 0
11.688498, 1
11.6885, 0
11.68852, 1
11.688526, 0
11.688552, 1
11.688554, 0
11.81715, 1
11.8908, 0
11.890802, 1
11.890804, 0
11.890812, 1
11.890814, 0
11.890826, 1
11.890828, 0
11.890834, 1
11.89084, 0
11.890866, 1
11.890868, 0
12.010562, 1
12.070708, 0
12.07071, 1
12.070712, 0
12.070718, 1
12.070722, 0
12.07074, 1
12.070746, 0
12.070772, 1
12.070774, 0
12.175102, 1
12.230752, 0
12.230754, 1
12.230756, 0
12.230762, 1
12.230766, 0
12.230784, 1
12.230792, 0
12.230816, 1
12.23082, 0
12.31815, 1
12.36224, 0
12.362242, 1
12.362244, 0
12.36225, 1
12.362254, 0
12.362272, 1
12.362278, 0
12.362304, 1
12.362306, 0
12.437528, 1
12.477398, 0
12.4774, 1
12.477402, 0
12.477408, 1
12.477412, 0
12.47743, 1
12.477438, 0
12.477462, 1
12.477466, 0
12.541022, 1
12.574284, 0
12.574286, 1
12.574288, 0
12.574296, 1
12.574298, 0
12.574318, 1
12.574322, 0
12.57435, 1
12.574352, 0
12.634376, 1
12.669168, 0
12.66917, 1
12.669174, 0
12.66918, 1
12.669182, 0
12.669194, 1
12.669196, 0
12.669202, 1
12.669208, 0
12.669234, 1
12.669236, 0
12.726808, 1
12.758056, 0
12.758062, 1
12.758066, 0
12.758084, 1
12.75809, 0
12.758116, 1
12.758118, 0
12.813976, 1
12.84658, 0
12.846582, 1
12.846584, 0
12.846592, 1
12.846594, 0
12.846606, 1
12.846608, 0
12.846614, 1
12.84662, 0
12.846646, 1
12.846648, 0
